oat_c\pa_ft,0,1000,2000,3000,4000,5000,6000,7000
-25,89.6,90.8,92.0,92.4,93.7,95.3,96.8,98.6
-20,90.5,91.7,92.9,94.2,95.6,97.2,98.7,100.7
-10,92.3,93.5,94.7,96.1,97.5,99.1,100.7,102.2
0,94.0,95.3,96.5,97.9,99.3,100.9,100.8,100.9
10,95.8,97.0,98.3,99.5,99.5,99.5,99.5,99.5
20,97.5,97.9,97.9,97.9,97.9,97.9,97.9,97.9
30,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9
40,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7
